Data: 2024-04-03, Sensore: Magnetometer, x: 390, y: -100, z: -869
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 999
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 392, y: -108, z: -863
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 388, y: -106, z: -862
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 388, y: -96, z: -863
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 381, y: -92, z: -860
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 999
Data: 2024-04-03, Sensore: Magnetometer, x: 373, y: -97, z: -865
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 376, y: -92, z: -874
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 13, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.28, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 367, y: -82, z: -875
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 370, y: -89, z: -876
Data: 2024-04-03, Sensore: Magnetometer, x: 383, y: -95, z: -873
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 372, y: -87, z: -867
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 358, y: -86, z: -866
Data: 2024-04-03, Sensore: Magnetometer, x: 365, y: -94, z: -863
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 378, y: -98, z: -863
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 391, y: -92, z: -872
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 390, y: -93, z: -872
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 374, y: -98, z: -871
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 13, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 386, y: -102, z: -867
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 388, y: -102, z: -869
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 374, y: -98, z: -869
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 11, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 371, y: -92, z: -873
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 384, y: -96, z: -869
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 13, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 396, y: -101, z: -863
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 385, y: -99, z: -867
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 380, y: -97, z: -869
Data: 2024-04-03, Sensore: Magnetometer, x: 380, y: -92, z: -876
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 372, y: -87, z: -872
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 372, y: -95, z: -863
